Player,Country,Start,End,Matches,Innings,Overs,Maidens,Runs,Wickets,Average,Economy,StrikeRate,BestBowlingInnings,FourWickets,FiveWickets,TenWickets
Cb Fry,England,1896,1912,26,1,0,0,3,0,Inf,1.7999999999999998,Inf,NA,0,0,0
Cb Jennings,Australia,1912,1912,6,0,0,0,0,0,NA,NA,NA,NA,0,0,0
Cb Lambert,West Indies,1991,1998,5,2,0,0,5,1,5,3,10,1/4,0,0,0
Cb Lambert (Usa/Wi),NA,1990,2004,12,2,0,0,74,0,Inf,6.166666666666667,Inf,NA,0,0,0
Cb Llewellyn,South Africa,1896,1912,15,21,0,0,1421,48,29.604166666666668,3.7198952879581153,47.75,6/92,0,4,1
Cb Mpofu,Zimbabwe,2004,2020,131,138,115.4,0,6008,155,39.28967090257413,5.909816286879573,49.81284479949664,6/52,3,1,0
Cb Ondoa,CAM,2021,2022,11,0,0,0,0,0,NA,NA,NA,NA,0,0,0
Cb Roposo,MOZ,2022,2024,17,16,46.5,1,276,24,11.5,5.893238434163701,11.708333333333334,3/14,0,0,0
Cb Sole,Scotland,2016,2024,48,47,56.1,0,1814,68,29.68427672955975,7.234672238141344,25.51635220125786,4/27,3,0,0
Cb Van Ryneveld,South Africa,1951,1958,19,20,0,0,671,17,39.470588235294116,2.5907335907335907,91.41176470588235,4/67,0,0,0
Cb Wishart,Zimbabwe,1995,2005,117,1,0,0,12,0,Inf,6,Inf,NA,0,0,0
Cbrls Kumara,Sri Lanka,2016,2024,88,108,90.4,1,5560,171,30.363861832611832,6.20373151551684,34.220147907647906,6/122,1,1,0
Cc Blake,VAN,2019,2019,3,3,8,0,49,1,49,6.125,48,1/15,0,0,0
Cc Depeiaza,West Indies,1955,1956,5,2,0,0,15,0,Inf,3,Inf,NA,0,0,0
Cc Griffith,West Indies,1960,1969,28,50,0,0,2683,94,28.54255319148936,2.8588172615876397,59.90425531914894,6/36,0,5,0
Cc Henry,Canada,1979,1979,2,2,0,0,53,2,26.5,3.533333333333333,45,2/27,0,0,0
Cc Hunte,West Indies,1958,1967,44,8,0,0,110,2,55,2.4444444444444446,135,1/17,0,0,0
Cc Lewis,England,1990,1998,85,104,0,0,5432,159,33.47556207233627,3.747449587190393,56.725073313782985,6/111,4,3,0
Cc Machado,BRA,2024,2024,1,0,0,0,0,0,NA,NA,NA,NA,0,0,0
Cc Mcdonald,Australia,1952,1961,47,1,0,0,3,0,Inf,2.25,Inf,NA,0,0,0
Cc Passailaigue,West Indies,1930,1930,1,1,0,0,15,0,Inf,7.5,Inf,NA,0,0,0
Cd Barnwell,West Indies,2011,2013,6,4,6,0,51,1,51,8.5,36,1/24,0,0,0
Cd Collymore,West Indies,1999,2007,114,133,0,0,5928,176,33.764995465733904,3.575290454661974,58.61206114781707,7/57,1,5,1
Cd Cumming,New Zealand,2003,2009,24,1,0,0,17,0,Inf,5.666666666666667,Inf,NA,0,0,0
Cd De Lange,Scotland,2015,2017,21,19,27,0,542,24,22.28125,5.205128205128204,27.1875,5/60,0,1,0
Cd Dixon,South Africa,1914,1914,1,2,0,0,118,3,39.333333333333336,2.95,80,2/62,0,0,0
Cd Gopinath,India,1951,1960,8,1,0,0,11,1,11,1.375,48,1/11,0,0,0
Cd Matthews,Australia,1986,1988,3,6,0,0,313,6,52.166666666666664,3.294736842105263,95,3/95,0,0,0
Cd Mcmillan,New Zealand,1997,2007,260,124,0,0,2974,77,39.96683673469388,4.248546027467541,63.852040816326536,3/48,0,0,0
Cd Wallace,Scotland,2012,2022,53,0,0,0,0,0,NA,NA,NA,NA,0,0,0
Cd Watson,West Indies,1960,1962,7,13,0,0,724,19,38.10526315789474,2.9794238683127574,76.73684210526316,4/62,0,0,0
Cdus Weerasinghe,Sri Lanka,1985,1985,1,2,0,0,36,0,Inf,1.894736842105263,Inf,NA,0,0,0
Ce Bulfin,New Zealand,1999,1999,4,3,0,0,109,0,Inf,6.411764705882353,Inf,NA,0,0,0
Ce Cuffy,West Indies,1994,2002,56,67,0,0,2891,84,34.43079977311401,3.2977203802181263,65.39563244469653,4/82,1,0,0
Ce Eksteen,South Africa,1991,2000,13,20,0,0,675,10,76.125,3.410789695945946,151.5,3/12,0,0,0
Ce Finlason,South Africa,1889,1889,1,1,0,0,7,0,Inf,3.5,Inf,NA,0,0,0
Ce Floquet,South Africa,1910,1910,1,1,0,0,24,0,Inf,3,Inf,NA,0,0,0
Ce Mcconchie,New Zealand,2021,2024,18,14,22.2,0,298,11,28.517857142857142,6.059968017057569,30.57142857142857,3/15,0,0,0
Ce Mcleod,Australia,1894,1905,17,27,0,0,1325,33,40.15151515151515,2.3562537048014223,102.24242424242425,5/65,0,2,0
Ce Pellew,Australia,1920,1921,10,3,0,0,34,0,Inf,2.6153846153846154,Inf,NA,0,0,0
Ceb Rice,South Africa,1991,1991,3,3,0,0,114,2,57,4.956521739130435,69,1/46,0,0,0
Ceh Croft,West Indies,1977,1982,46,71,0,0,3533,155,21.985333333333333,3.1558360051845282,42.49333333333333,8/29,0,4,0
Cej Guest,Australia,1963,1963,1,2,0,0,59,0,Inf,2.4583333333333335,Inf,NA,0,0,0
Cel Ambrose,West Indies,1988,2000,274,354,0,0,13930,630,22.559506172839505,2.8951916790880197,48.0720987654321,8/45,6,26,3
Cel Jones,West Indies,1930,1935,4,3,0,0,11,0,Inf,0.6470588235294118,Inf,NA,0,0,0
Cel Stuart,West Indies,2000,2001,11,17,0,0,833,28,28.5125,4.071892973243311,44.025,5/44,0,1,0
Cem Wilson,England,1899,1899,2,0,0,0,0,0,NA,NA,NA,NA,0,0,0
Cew Silverwood,England,1996,2002,13,16,0,0,688,17,40.515151515151516,4.000852514919011,63.13636363636363,5/91,0,1,0
Cf Root,England,1926,1926,3,3,0,0,194,8,24.25,1.8130841121495327,80.25,4/84,0,0,0
Cf Tlali,LES,2021,2024,23,0,0,0,0,0,NA,NA,NA,NA,0,0,0
Cf Walters,England,1933,1934,11,0,0,0,0,0,NA,NA,NA,NA,0,0,0
Cfh Leslie,England,1882,1883,4,3,0,0,44,4,11,2.75,24,3/31,0,0,0
Cfh Prince,South Africa,1899,1899,1,0,0,0,0,0,NA,NA,NA,NA,0,0,0
Cfk Van Wyk,New Zealand,2012,2012,9,0,0,0,0,0,NA,NA,NA,NA,0,0,0
Cfw Allcott,New Zealand,1930,1932,6,8,0,0,541,6,90.16666666666667,2.691542288557214,201,2/102,0,0,0
Cfw Hime,South Africa,1896,1896,1,2,0,0,31,1,31,3.381818181818182,55,1/20,0,0,0
Cg Borde,India,1958,1969,55,54,0,0,2417,52,46.48076923076923,2.5464442493415276,109.51923076923077,5/88,0,1,0
Cg Burnett,Scotland,2013,2013,1,1,4,0,18,3,6,4.5,8,3/18,0,0,0
Cg Butts,West Indies,1985,1988,7,10,0,0,595,10,59.5,2.2972972972972974,155.4,4/73,0,0,0
Cg Fichardt,South Africa,1892,1896,2,0,0,0,0,0,NA,NA,NA,NA,0,0,0
Cg Greenidge,West Indies,1974,1991,236,4,0,0,49,1,Inf,2.7115384615384617,Inf,1/21,0,0,0
Cg Halse,South Africa,1964,1964,3,6,0,0,260,6,43.333333333333336,2.657580919931857,97.83333333333333,3/50,0,0,0
Cg Macartney,Australia,1907,1926,35,45,0,0,1240,45,27.555555555555557,2.0893007582139846,79.13333333333334,7/58,0,2,1
Cg Osborne,CRT,2023,2023,2,2,4,0,32,3,10.666666666666666,8,8,3/25,0,0,0
Cg Rackemann,Australia,1982,1991,64,72,0,0,2970,121,25.75375234521576,3.2247668878411657,51.87726704190119,6/86,3,4,1
Cg Rowe,New Zealand,1946,1946,1,0,0,0,0,0,NA,NA,NA,NA,0,0,0
Cg Williams,Namibia,2019,2022,53,23,29,1,405,12,47.38888888888889,5.454022988505747,57.666666666666664,3/9,0,0,0
Cgd Burger,South Africa,1958,1958,2,0,0,0,0,0,NA,NA,NA,NA,0,0,0
Ch Gayle,West Indies,2000,2021,182,134,63.3,0,3560,93,32.369863013698634,4.781207806894444,58.21678082191781,5/34,0,2,0
Ch Gayle (Icc/Wi),NA,1999,2019,301,199,0,0,5926,167,35.48502994011976,4.789331896551724,44.455089820359284,5/46,3,1,0
Ch Lloyd,West Indies,1966,1985,197,55,0,0,832,18,44.225,2.8471891237254368,108.175,2/4,0,0,0
Ch Lonsdale,BER,2007,2007,1,1,0,0,19,0,Inf,9.5,Inf,NA,0,0,0
Ch Mills,South Africa,1892,1892,1,1,0,0,83,2,41.5,3.5571428571428574,70,2/83,0,0,0
Ch Morris,South Africa,2012,2019,69,71,83,3,2912,94,31.77777777777778,6.126988699091521,35.34068627450981,4/31,3,0,0
Ch Palmer,England,1954,1954,1,1,0,0,15,0,Inf,3,Inf,NA,0,0,0
Ch Parkin,England,1920,1924,10,16,0,0,1128,32,35.25,3.2305489260143196,65.46875,5/38,0,2,0
Ch Vintcent,South Africa,1889,1892,3,4,0,0,193,4,48.25,3.138211382113821,92.25,3/88,0,0,0
Charanjeet Singh,ITA,2019,2019,3,2,5,0,35,1,35,7,30,1/18,0,0,0
Charles Trott,BER,2023,2023,5,0,0,0,0,0,NA,NA,NA,NA,0,0,0
Chaudhary Akram,NOR,2023,2024,4,2,5,0,27,4,6.75,5.4,7.5,2/13,0,0,0
Chen Zhuo Yue,CHN,2023,2024,11,10,28.1,2,211,8,26.375,7.491124260355029,21.125,4/16,1,0,0
Chirag Suri,United Arab Emirates,2018,2023,68,0,0,0,0,0,NA,NA,NA,NA,0,0,0
Choudry Share Ali,SWE,2023,2024,9,0,0,0,0,0,NA,NA,NA,NA,0,0,0
Ci Dunusinghe,Sri Lanka,1995,1995,6,0,0,0,0,0,NA,NA,NA,NA,0,0,0
Cihan Altun,TKY,2023,2023,3,0,0,0,0,0,NA,NA,NA,NA,0,0,0
Cij Smith,England,1935,1937,5,9,0,0,393,15,26.2,2.535483870967742,62,5/16,0,1,0
Cj Adams,England,1998,2000,10,2,0,0,59,1,59,2.95,120,1/42,0,0,0
Cj Anderson,New Zealand,2013,2017,62,66,0,0,2161,76,33.110416666666666,4.552776614066937,53.0625,5/63,2,1,0
Cj Anderson (Nz/Usa),NA,2012,2024,42,27,72,0,585,16,36.5625,8.125,27,2/17,0,0,0
Cj Barnett,England,1933,1948,20,8,0,0,93,0,Inf,2.1796875,Inf,NA,0,0,0
Cj Bowes,New Zealand,2023,2023,17,0,0,0,0,0,NA,NA,NA,NA,0,0,0
Cj Boyce,Australia,2014,2016,7,7,23,0,152,8,19,6.608695652173913,17.25,2/10,0,0,0
Cj Chibhabha,Zimbabwe,2005,2023,150,85,53.5,0,2248,50,80.36666666666667,6.0772337410254655,105.68095238095238,4/25,1,0,0
Cj Dala,South Africa,2018,2021,12,12,32,1,428,14,72.3076923076923,8.355698529411764,58.38461538461539,3/35,0,0,0
Cj Delany,GIBR,2019,2021,13,4,8.2,0,95,1,95,11.400000000000002,49.99999999999999,1/37,0,0,0
Cj Drum,New Zealand,1999,2002,10,14,0,0,743,20,47.6875,5.419044665012407,52.1875,3/36,0,0,0
Cj Eady,Australia,1896,1902,2,4,0,0,112,7,16,3.0134529147982065,31.857142857142858,3/30,0,0,0
Cj Ferguson,Australia,2009,2016,34,0,0,0,0,0,NA,NA,NA,NA,0,0,0
Cj Gannon,United States of America,2019,2019,4,3,9,0,67,3,22.333333333333332,7.444444444444445,18,2/21,0,0,0
Cj Green,Australia,2023,2023,1,1,4,0,36,0,Inf,9,Inf,NA,0,0,0
Cj Jordan,England,2013,2024,138,145,325.3,2,5259,175,32.75253048079135,5.898521128881661,42.34247757073844,5/29,4,1,0
Cj Langford,IOM,2020,2024,17,16,50.1,0,308,21,14.666666666666666,6.1395348837209305,14.333333333333334,3/10,0,0,0
Cj Mcdermott,Australia,1984,1996,209,262,0,0,13350,494,26.67575711407919,3.5247461404391465,46.875129077581974,8/97,4,15,2
Cj Mckay,Australia,2009,2014,66,67,22.4,1,2648,102,57.04037800687285,5.488161132918597,77.52233676975945,5/28,4,2,0
Cj Nevin,New Zealand,2000,2003,37,0,0,0,0,0,NA,NA,NA,NA,0,0,0
Cj Poole,England,1951,1952,3,1,0,0,9,0,Inf,1.8,Inf,NA,0,0,0
Cj Richards,England,1981,1988,30,0,0,0,0,0,NA,NA,NA,NA,0,0,0
Cj Sayers,Australia,2018,2018,1,2,0,0,146,2,73,2.979591836734694,147,2/78,0,0,0
Cj Smith,BER,2006,2007,12,0,0,0,0,0,NA,NA,NA,NA,0,0,0
Cj Tavare,England,1980,1989,60,3,0,0,14,0,Inf,1.85,Inf,NA,0,0,0
Cja Amini,Papau New Guinea,2014,2024,108,94,145,0,2284,79,31.169547872340424,5.547350123297085,35.91156914893617,4/27,2,0,0
Cjd Chappell,Canada,1979,1979,3,0,0,0,0,0,NA,NA,NA,NA,0,0,0
Cje Smith,South Africa,1902,1902,3,0,0,0,0,0,NA,NA,NA,NA,0,0,0
Cjl Rogers,Australia,2008,2015,25,0,0,0,0,0,NA,NA,NA,NA,0,0,0
Cjo Smith,Scotland,2006,2009,35,0,0,0,0,0,NA,NA,NA,NA,0,0,0
Cjpf Kalugamage,ITA,2022,2024,12,12,36.5,3,209,14,14.928571428571429,5.6742081447963795,15.785714285714286,4/17,1,0,0
Cjpg Van Zyl,South Africa,1992,1992,2,2,0,0,93,0,Inf,5.166666666666667,Inf,NA,0,0,0
Ck Coventry,Zimbabwe,2003,2015,54,0,0,0,0,0,NA,NA,NA,NA,0,0,0
Ck Holder,West Indies,2020,2021,2,2,0,0,136,2,Inf,6.448717948717949,Inf,2/110,0,0,0
Ck Hooper,Canada,2007,2010,5,5,0,0,181,3,60.333333333333336,6.426035502958579,56.333333333333336,1/17,0,0,0
Ck Jasmat,Samoa,2022,2024,12,9,28.5,0,169,6,28.166666666666668,5.8612716763005785,28.833333333333332,1/8,0,0,0
Ck Kapugedera,Sri Lanka,2006,2017,153,11,0,0,234,2,Inf,4.806818181818182,Inf,1/24,0,0,0
Ck Kruger,Hong Kong,2008,2008,2,0,0,0,0,0,NA,NA,NA,NA,0,0,0
Ck Langeveldt,South Africa,2001,2010,87,90,33,0,3796,133,26.95299019607843,5.319438331476165,36.324852941176474,5/46,2,3,0
Ck Nayudu,India,1932,1936,7,10,0,0,386,9,42.888888888888886,2.699300699300699,95.33333333333333,3/40,0,0,0
Ck Singh,West Indies,1960,1960,2,4,0,0,166,5,33.2,1.9683794466403164,101.2,2/28,0,0,0
Ck Tshuma,Zimbabwe,2020,2020,4,4,1,0,178,2,Inf,6.981818181818182,Inf,1/85,0,0,0
Ckb Kulasekara,Sri Lanka,2011,2012,5,6,0,0,160,1,Inf,4.5054945054945055,Inf,1/65,0,0,0
Cl Badcock,Australia,1936,1938,7,0,0,0,0,0,NA,NA,NA,NA,0,0,0
Cl Cairns,New Zealand,1989,2006,64,106,8,0,6462,219,40.70183486238532,4.893870747136263,50.830275229357795,7/27,0,13,1
Cl Cairns (Icc/Nz),NA,1991,2006,215,186,0,0,6594,201,32.80597014925373,4.843780607247797,40.63681592039801,5/42,3,1,0
Cl Hooper,West Indies,1987,2003,329,348,0,0,12593,307,42.740819016453045,3.4060405182093123,85.30051813471502,5/26,3,4,0
Cl Johnson,South Africa,1896,1896,1,1,0,0,57,0,Inf,2.442857142857143,Inf,NA,0,0,0
Cl King,West Indies,1976,1980,27,26,0,0,811,14,71.04545454545455,3.5866727635517126,130.8181818181818,4/23,1,0,0
Cl Mccool,Australia,1946,1950,14,20,0,0,958,36,26.61111111111111,2.2955271565495208,69.55555555555556,5/41,0,3,0
Cl Outerbridge,BER,2023,2023,4,4,9,0,50,4,12.5,5.555555555555555,13.5,3/18,0,0,0
Cl Smith,England,1983,1986,12,6,0,0,67,5,13.5,3.480392156862745,26,2/8,0,0,0
Cl Townsend,England,1899,1899,2,3,0,0,75,3,25,3.2142857142857144,46.666666666666664,3/50,0,0,0
Cl Vincent,South Africa,1927,1935,25,40,0,0,2631,84,31.321428571428573,2.6980003418219107,69.6547619047619,6/51,0,3,0
Cl Walcott,West Indies,1948,1960,44,22,0,0,408,11,37.09090909090909,2.050251256281407,108.54545454545455,3/50,0,0,0
Cl White,Australia,2005,2018,142,32,7,0,744,18,49.550000000000004,5.775223801634483,60.394444444444446,3/5,0,0,0
Cm Akachukwu,NGA,2019,2021,15,15,34.2,2,258,10,25.8,7.514563106796116,20.6,2/8,0,0,0
Cm Christiani,West Indies,1935,1935,4,0,0,0,0,0,NA,NA,NA,NA,0,0,0
Cm Francois,South Africa,1922,1923,5,9,0,0,225,6,37.5,1.9736842105263157,114,3/23,0,0,0
Cm Kuggeleijn,New Zealand,1988,1989,18,19,0,0,671,13,58.66666666666667,4.290035205491552,82.54166666666666,2/31,0,0,0
Cm Mcbride,Scotland,2022,2023,18,7,0,0,100,3,33.333333333333336,4.545454545454546,44,1/10,0,0,0
Cm Old,England,1972,1981,78,112,0,0,5019,188,25.155944055944055,3.0691734546780833,50.47202797202797,7/50,2,4,0
Cm Rocca,GIBR,2022,2022,2,0,0,0,0,0,NA,NA,NA,NA,0,0,0
Cm Spearman,New Zealand,1995,2001,70,1,0,0,6,0,Inf,12,Inf,NA,0,0,0
Cm Tuckett,West Indies,1998,1998,1,1,0,0,41,2,20.5,5.125,24,2/41,0,0,0
Cm Wells,England,1985,1985,2,0,0,0,0,0,NA,NA,NA,NA,0,0,0
Cm Willoughby,South Africa,2000,2003,5,6,0,0,273,3,99.5,3.892857142857143,192,2/39,0,0,0
Cm Wright,Scotland,2006,2009,23,21,5,0,712,33,17.55603448275862,7.210104529616725,18.594827586206897,4/29,1,0,0
Cmh Hathorn,South Africa,1902,1911,12,0,0,0,0,0,NA,NA,NA,NA,0,0,0
Cmw Read,England,1999,2007,52,0,0,0,0,0,NA,NA,NA,NA,0,0,0
Cn Ackermann,NED,2019,2024,43,35,47,1,798,25,31.266233766233768,5.371886351842242,36.246753246753244,4/22,1,0,0
Cn Evans,Zimbabwe,1992,2003,56,36,0,0,883,21,Inf,4.5834485938220375,Inf,3/11,0,0,0
Cn Frank,South Africa,1921,1921,3,0,0,0,0,0,NA,NA,NA,NA,0,0,0
Cn Greaves,Scotland,2021,2024,59,46,62,0,1058,43,24.90888888888889,6.582884605706809,23.153333333333336,5/53,1,1,0
Cn Kakuru,UGA,2022,2024,40,0,0,0,0,0,NA,NA,NA,NA,0,0,0
Cn Mccarthy,South Africa,1948,1951,15,25,0,0,1510,36,41.94444444444444,2.589311231780509,97.19444444444444,6/43,0,2,0
Cn Onwuzulike,NGA,2019,2022,22,0,0,0,0,0,NA,NA,NA,NA,0,0,0
Co Browne,West Indies,1995,2005,66,0,0,0,0,0,NA,NA,NA,NA,0,0,0
Co Obuya,Kenya,2001,2024,179,76,70.2,1,2124,60,33.12571428571429,6.163405440070074,34.41142857142857,5/24,1,1,0
Coc Pearse,South Africa,1910,1911,3,3,0,0,106,3,35.333333333333336,4.416666666666667,48,3/56,0,0,0
Cp Buckenham,England,1910,1910,4,8,0,0,593,21,28.238095238095237,3.010152284263959,56.285714285714285,5/115,0,1,0
Cp Carter,South Africa,1912,1924,10,12,0,0,694,28,24.785714285714285,2.823050847457627,52.67857142857143,6/50,0,2,0
Cp Mcgahey,England,1902,1902,2,0,0,0,0,0,NA,NA,NA,NA,0,0,0
Cp Mead,England,1911,1928,17,0,0,0,0,0,NA,NA,NA,NA,0,0,0
Cp Rizwan,United Arab Emirates,2019,2024,60,5,0,0,50,1,50,5.172413793103448,58,1/19,0,0,0
Cp Schofield,England,2000,2007,6,5,12.5,0,165,4,Inf,5.612193362193362,Inf,2/15,0,0,0
Cp Senanayake,Sri Lanka,1990,1991,10,0,0,0,0,0,NA,NA,NA,NA,0,0,0
Cp Tremain,Australia,2016,2016,4,4,0,0,255,7,36.42857142857143,6.375,34.285714285714285,3/64,0,0,0
Cp Turkich,CRT,2022,2024,9,0,0,0,0,0,NA,NA,NA,NA,0,0,0
Cph Ramanayake,Sri Lanka,1986,1995,80,91,0,0,3929,112,36.4298128342246,3.689812839988625,62.581550802139034,5/82,1,1,0
Cppm Sadun,CYP,2021,2024,17,13,33.3,0,235,8,29.375,7.0149253731343295,25.124999999999996,4/1,1,0,0
Cps Chauhan,India,1969,1981,47,10,0,0,106,2,53,3.6551724137931036,87,1/4,0,0,0
Cr Amini,Papau New Guinea,2014,2014,2,2,0,0,79,3,26.333333333333332,4.388888888888889,36,2/33,0,0,0
Cr Brathwaite,West Indies,2011,2019,88,83,118.1,1,3021,75,105.2490622655664,5.979162814767501,157.77094273568392,5/27,2,1,0
Cr Browne,West Indies,1928,1930,4,6,0,0,288,6,48,2.057142857142857,140,2/72,0,0,0
Cr Ervine,Zimbabwe,2010,2024,211,0,0,0,0,0,NA,NA,NA,NA,0,0,0
Cr Foggo,BER,2008,2008,7,1,0,0,2,0,Inf,12,Inf,NA,0,0,0
Cr Matthews,South Africa,1991,1997,74,88,0,0,3477,131,26.942307692307693,3.1051877770470733,57.27555988315481,5/42,3,2,0
Cr Miller,Australia,1998,2001,18,34,0,0,1805,69,26.159420289855074,2.6472745050109996,59.289855072463766,5/32,0,3,1
Cr Rangachari,India,1948,1948,4,4,0,0,493,9,54.77777777777778,3.49645390070922,94,5/107,0,1,0
Cr Richards,STHEL,2022,2024,8,0,0,0,0,0,NA,NA,NA,NA,0,0,0
Cr Suryawanshi,SGP,2019,2023,5,1,2,0,13,1,13,6.5,12,1/13,0,0,0
Cr Woakes,England,2011,2024,210,256,101.5,1,10952,379,28.248299548049687,5.509502047482662,36.27336618630297,6/45,11,8,1
Crd Fernando,Sri Lanka,2000,2016,58,86,63,3,4248,118,31.80888888888889,5.519135702601161,41.405,5/42,0,3,0
Crd Fernando (Asia/Sl),NA,2001,2012,147,141,0,0,5648,187,30.203208556149733,5.207929921622868,34.79679144385027,6/27,3,1,0
Crm Douglas,BER,2008,2008,2,0,0,0,0,0,NA,NA,NA,NA,0,0,0
Cs Baugh,West Indies,2003,2012,71,0,0,0,0,0,NA,NA,NA,NA,0,0,0
Cs Cowdrey,England,1984,1988,9,11,0,0,364,6,52.375,5.496385193753615,62.875,2/65,0,0,0
