match_id,balls_per_over,team1,team2,gender,season,date,event,match_number,venue,city,toss_winner,toss_decision,player_of_match,umpire1,umpire2,reserve_umpire,tv_umpire,match_referee,winner,winner_runs,winner_wickets,winner_innings,outcome,method
332911,6,India,South Africa,male,2007/08,2008/03/26,South Africa in India Test Series,1,"MA Chidambaram Stadium, Chepauk",Chennai,South Africa,bat,V Sehwag,Asad Rauf,AL Hill,SK Tarapore,AM Saheba,RS Mahanama,NA,NA,NA,NA,draw,NA
332912,6,India,South Africa,male,2007/08,2008/04/03,South Africa in India Test Series,2,"Sardar Patel Stadium, Motera",Ahmedabad,India,bat,AB de Villiers,BR Doctrove,AL Hill,AY Dandekar,SL Shastri,RS Mahanama,South Africa,90,NA,1,NA,NA
319133,6,West Indies,Sri Lanka,male,2007/08,2008/04/03,Sri Lanka in West Indies Test Series,2,"Queen's Park Oval, Port of Spain",Trinidad,West Indies,field,RR Sarwan,BF Bowden,SJA Taufel,CR Duncan,GE Greaves,BC Broad,West Indies,NA,6,NA,NA,NA
332913,6,India,South Africa,male,2007/08,2008/04/11,South Africa in India Test Series,3,Green Park,Kanpur,South Africa,bat,SC Ganguly,Asad Rauf,BR Doctrove,S Dua,GA Pratapkumar,RS Mahanama,India,NA,8,NA,NA,NA
296900,6,England,New Zealand,male,2008,2008/05/15,New Zealand in England Test Series,1,Lord's,London,England,field,DL Vettori,SA Bucknor,SJA Taufel,JW Lloyds,NJ Llong,RS Madugalle,NA,NA,NA,NA,draw,NA
319139,6,West Indies,Australia,male,2008,2008/05/22,The Frank Worrell Trophy,1,"Sabina Park, Kingston",Jamaica,Australia,bat,SR Clark,Aleem Dar,RB Tiffin,CE Mack,NA Malcolm,RS Mahanama,Australia,95,NA,NA,NA,NA
296901,6,England,New Zealand,male,2008,2008/05/23,New Zealand in England Test Series,2,Old Trafford,Manchester,New Zealand,bat,MS Panesar,DB Hair,SJA Taufel,NL Bainton,IJ Gould,RS Madugalle,England,NA,6,NA,NA,NA
319140,6,West Indies,Australia,male,2008,2008/05/30,The Frank Worrell Trophy,2,"Sir Vivian Richards Stadium, North Sound",Antigua,Australia,bat,S Chanderpaul,MR Benson,RB Tiffin,CE Mack,NA Malcolm,RS Mahanama,NA,NA,NA,NA,draw,NA
296902,6,England,New Zealand,male,2008,2008/06/05,New Zealand in England Test Series,3,Trent Bridge,Nottingham,New Zealand,field,JM Anderson,SA Bucknor,DB Hair,RA Kettleborough,PJ Hartley,RS Madugalle,England,9,NA,1,NA,NA
319141,6,West Indies,Australia,male,2008,2008/06/12,The Frank Worrell Trophy,3,"Kensington Oval, Bridgetown",Barbados,West Indies,field,SM Katich,Aleem Dar,MR Benson,VV Bullen,GE Greaves,RS Mahanama,Australia,87,NA,NA,NA,NA
296909,6,England,South Africa,male,2008,2008/07/10,Basil D'Oliveira Trophy,1,Lord's,London,South Africa,field,IR Bell,BF Bowden,DJ Harper,RT Robinson,NJ Llong,JJ Crowe,NA,NA,NA,NA,draw,NA
296910,6,England,South Africa,male,2008,2008/07/18,Basil D'Oliveira Trophy,2,Headingley,Leeds,South Africa,field,AG Prince,BF Bowden,DJ Harper,NA Mallender,RA Kettleborough,JJ Crowe,South Africa,NA,10,NA,NA,NA
343729,6,Sri Lanka,India,male,2008,2008/07/23,India in Sri Lanka Test Series,1,Sinhalese Sports Club Ground,Colombo,Sri Lanka,bat,M Muralitharan,MR Benson,BR Doctrove,PG Liyanage,RE Koertzen,AG Hurst,Sri Lanka,239,NA,1,NA,NA
296911,6,England,South Africa,male,2008,2008/07/30,Basil D'Oliveira Trophy,3,Edgbaston,Birmingham,England,bat,GC Smith,Aleem Dar,SJ Davis,RJ Bailey,IJ Gould,RS Madugalle,South Africa,NA,5,NA,NA,NA
343730,6,Sri Lanka,India,male,2008,2008/07/31,India in Sri Lanka Test Series,2,Galle International Stadium,NA,India,bat,V Sehwag,BR Doctrove,RE Koertzen,AG Dissanayake,MR Benson,AG Hurst,India,170,NA,NA,NA,NA
296912,6,England,South Africa,male,2008,2008/08/07,Basil D'Oliveira Trophy,4,Kennington Oval,London,South Africa,bat,KP Pietersen,Aleem Dar,SJ Davis,RK Illingworth,PJ Hartley,RS Madugalle,England,NA,6,NA,NA,NA
343731,6,Sri Lanka,India,male,2008,2008/08/08,India in Sri Lanka Test Series,3,P Saravanamuttu Stadium,Colombo,India,bat,KC Sangakkara,MR Benson,RE Koertzen,SSK Gallage,BR Doctrove,AG Hurst,Sri Lanka,NA,8,NA,NA,NA
345669,6,India,Australia,male,2008/09,2008/10/09,Border-Gavaskar Trophy,1,M Chinnaswamy Stadium,Bangalore,Australia,bat,Z Khan,Asad Rauf,RE Koertzen,SS Hazare,AM Saheba,BC Broad,NA,NA,NA,NA,draw,NA
345670,6,India,Australia,male,2008/09,2008/10/17,Border-Gavaskar Trophy,2,"Punjab Cricket Association Stadium, Mohali",Chandigarh,India,bat,MS Dhoni,Asad Rauf,RE Koertzen,AY Dandekar,AM Saheba,BC Broad,India,320,NA,NA,NA,NA
361759,6,Bangladesh,New Zealand,male,2008/09,2008/10/25,New Zealand in Bangladesh Test Series,2,Shere Bangla National Stadium,Mirpur,Bangladesh,field,DL Vettori,EAR de Silva,DJ Harper,Anisur Rahman,AFM Akhtaruddin,J Srinath,NA,NA,NA,NA,draw,NA
345671,6,India,Australia,male,2008/09,2008/10/29,Border-Gavaskar Trophy,3,Feroz Shah Kotla,Delhi,India,bat,VVS Laxman,Aleem Dar,BF Bowden,SN Bandekar,SL Shastri,BC Broad,NA,NA,NA,NA,draw,NA
345672,6,India,Australia,male,2008/09,2008/11/06,Border-Gavaskar Trophy,4,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,India,bat,JJ Krejza,Aleem Dar,BF Bowden,S Asnani,SL Shastri,BC Broad,India,172,NA,NA,NA,NA
350345,6,South Africa,Bangladesh,male,2008/09,2008/11/19,Bangladesh in South Africa Test Series,1,OUTsurance Oval,Bloemfontein,Bangladesh,field,GC Smith,SJ Davis,IJ Gould,BG Jerling,M Erasmus,AG Hurst,South Africa,129,NA,1,NA,NA
350346,6,South Africa,Bangladesh,male,2008/09,2008/11/26,Bangladesh in South Africa Test Series,2,SuperSport Park,Centurion,Bangladesh,bat,AG Prince,SJ Davis,IJ Gould,M Erasmus,BG Jerling,AG Hurst,South Africa,48,NA,1,NA,NA
351680,6,Australia,New Zealand,male,2008/09,2008/11/28,Trans-Tasman Trophy,2,Adelaide Oval,NA,New Zealand,bat,BJ Haddin,BR Doctrove,RE Koertzen,AR Collins,BNJ Oxenford,BC Broad,Australia,62,NA,1,NA,NA
361050,6,India,England,male,2008/09,2008/12/11,England in India Test Series,1,"MA Chidambaram Stadium, Chepauk",Chennai,England,bat,V Sehwag,BF Bowden,DJ Harper,R Risodkar,SL Shastri,JJ Crowe,India,NA,6,NA,NA,NA
351681,6,Australia,South Africa,male,2008/09,2008/12/17,South Africa in Australia Test Series,1,Western Australia Cricket Association Ground,Perth,Australia,bat,AB de Villiers,Aleem Dar,EAR de Silva,MD Martell,PR Reiffel,RS Madugalle,South Africa,NA,6,NA,NA,NA
361051,6,India,England,male,2008/09,2008/12/19,England in India Test Series,2,"Punjab Cricket Association Stadium, Mohali",Chandigarh,India,bat,G Gambhir,Asad Rauf,DJ Harper,VD Nerurkar,SL Shastri,JJ Crowe,NA,NA,NA,NA,draw,NA
351682,6,Australia,South Africa,male,2008/09,2008/12/26,South Africa in Australia Test Series,2,Melbourne Cricket Ground,NA,Australia,bat,DW Steyn,Aleem Dar,BR Doctrove,AP Ward,BNJ Oxenford,RS Madugalle,South Africa,NA,9,NA,NA,NA
351683,6,Australia,South Africa,male,2008/09,2009/01/03,South Africa in Australia Test Series,3,Sydney Cricket Ground,NA,Australia,bat,PM Siddle,BF Bowden,EAR de Silva,GA Abood,RJ Tucker,RS Madugalle,Australia,103,NA,NA,NA,NA
378751,6,Bangladesh,Sri Lanka,male,2008/09,2009/01/03,Sri Lanka in Bangladesh Test Series,2,Chittagong Divisional Stadium,NA,Sri Lanka,bat,TM Dilshan,SA Bucknor,NJ Llong,Anisur Rahman,Nadir Shah,JJ Crowe,Sri Lanka,465,NA,NA,NA,NA
352661,6,West Indies,England,male,2008/09,2009/02/04,The Wisden Trophy,1,"Sabina Park, Kingston",Jamaica,England,bat,JE Taylor,AL Hill,RE Koertzen,NA Malcolm,DJ Harper,AG Hurst,West Indies,23,NA,1,NA,NA
352662,6,West Indies,England,male,2008/09,2009/02/13,The Wisden Trophy,2,"Sir Vivian Richards Stadium, North Sound",Antigua,West Indies,field,NA,DJ Harper,AL Hill,NA Malcolm,RE Koertzen,AG Hurst,NA,NA,NA,NA,draw,NA
390680,6,West Indies,England,male,2008/09,2009/02/15,The Wisden Trophy,3,"Antigua Recreation Ground, St John's",Antigua,West Indies,field,RR Sarwan,DJ Harper,RE Koertzen,CE Mack,NA Malcolm,AG Hurst,NA,NA,NA,NA,draw,NA
388993,6,Pakistan,Sri Lanka,male,2008/09,2009/02/21,Sri Lanka in Pakistan Test Series,1,National Stadium,Karachi,Sri Lanka,bat,Younis Khan,SJ Davis,SJA Taufel,Akram Raza,Zameer Haider,BC Broad,NA,NA,NA,NA,draw,NA
352663,6,West Indies,England,male,2008/09,2009/02/26,The Wisden Trophy,4,"Kensington Oval, Bridgetown",Barbados,England,bat,RR Sarwan,Aleem Dar,RB Tiffin,CR Duncan,DJ Harper,AG Hurst,NA,NA,NA,NA,draw,NA
350472,6,South Africa,Australia,male,2008/09,2009/02/26,Australia in South Africa Test Series,1,New Wanderers Stadium,Johannesburg,Australia,bat,MG Johnson,BF Bowden,SA Bucknor,M Erasmus,Asad Rauf,JJ Crowe,Australia,162,NA,NA,NA,NA
388994,6,Pakistan,Sri Lanka,male,2008/09,2009/03/01,Sri Lanka in Pakistan Test Series,2,Gaddafi Stadium,Lahore,Pakistan,field,NA,SJ Davis,SJA Taufel,Ahsan Raza,Nadeem Ghauri,BC Broad,NA,NA,NA,NA,draw,NA
352664,6,West Indies,England,male,2008/09,2009/03/06,The Wisden Trophy,5,"Queen's Park Oval, Port of Spain",Trinidad,England,bat,MJ Prior,DJ Harper,RB Tiffin,CR Duncan,Aleem Dar,AG Hurst,NA,NA,NA,NA,draw,NA
350473,6,South Africa,Australia,male,2008/09,2009/03/06,Australia in South Africa Test Series,2,Kingsmead,Durban,Australia,bat,PJ Hughes,Asad Rauf,BF Bowden,IL Howell,SA Bucknor,JJ Crowe,Australia,175,NA,NA,NA,NA
366628,6,New Zealand,India,male,2008/09,2009/03/18,India in New Zealand Test Series,1,Seddon Park,Hamilton,India,field,SR Tendulkar,IJ Gould,SJA Taufel,KC Manley,GAV Baxter,AG Hurst,India,NA,10,NA,NA,NA
350474,6,South Africa,Australia,male,2008/09,2009/03/19,Australia in South Africa Test Series,3,Newlands,Cape Town,Australia,bat,PL Harris,Asad Rauf,SA Bucknor,M Erasmus,BF Bowden,JJ Crowe,South Africa,20,NA,1,NA,NA
386496,6,New Zealand,India,male,2008/09,2009/03/26,India in New Zealand Test Series,2,McLean Park,Napier,New Zealand,bat,JD Ryder,BR Doctrove,IJ Gould,CB Gaffaney,EA Watkin,AG Hurst,NA,NA,NA,NA,draw,NA
366629,6,New Zealand,India,male,2008/09,2009/04/03,India in New Zealand Test Series,3,Basin Reserve,Wellington,New Zealand,field,G Gambhir,DJ Harper,SJA Taufel,DM Quested,AL Hill,AG Hurst,NA,NA,NA,NA,draw,NA
380712,6,England,West Indies,male,2009,2009/05/06,The Wisden Trophy,1,Lord's,London,West Indies,field,GP Swann,SJ Davis,EAR de Silva,NA Mallender,IJ Gould,AJ Pycroft,England,NA,10,NA,NA,NA
380713,6,England,West Indies,male,2009,2009/05/14,The Wisden Trophy,2,Riverside Ground,Chester-le-Street,England,bat,JM Anderson,SJ Davis,EAR de Silva,NL Bainton,PJ Hartley,AJ Pycroft,England,83,NA,1,NA,NA
403367,6,Sri Lanka,Pakistan,male,2009,2009/07/04,Pakistan in Sri Lanka Test Series,1,Galle International Stadium,NA,Pakistan,field,HMRKB Herath,IJ Gould,DJ Harper,SSK Gallage,HDPK Dharmasena,AG Hurst,Sri Lanka,50,NA,NA,NA,NA
345970,6,England,Australia,male,2009,2009/07/08,The Ashes,1,Sophia Gardens,Cardiff,England,bat,RT Ponting,Aleem Dar,BR Doctrove,RK Illingworth,RA Kettleborough,JJ Crowe,NA,NA,NA,NA,draw,NA
401071,6,West Indies,Bangladesh,male,2009,2009/07/09,Bangladesh in West Indies Test Series,1,"Arnos Vale Ground, Kingstown",St Vincent,Bangladesh,bat,Tamim Iqbal,EAR de Silva,AL Hill,GE Greaves,CR Duncan,AJ Pycroft,Bangladesh,95,NA,NA,NA,NA
403368,6,Sri Lanka,Pakistan,male,2009,2009/07/12,Pakistan in Sri Lanka Test Series,2,P Sara Oval,Colombo,Pakistan,bat,Fawad Alam,DJ Harper,SJA Taufel,MSK Nandiweera,HDPK Dharmasena,AG Hurst,Sri Lanka,NA,7,NA,NA,NA
345971,6,England,Australia,male,2009,2009/07/16,The Ashes,2,Lord's,London,England,bat,A Flintoff,BR Doctrove,RE Koertzen,RJ Bailey,NJ Llong,JJ Crowe,England,115,NA,NA,NA,NA
401072,6,West Indies,Bangladesh,male,2009,2009/07/17,Bangladesh in West Indies Test Series,2,"National Cricket Stadium, St George's",Grenada,Bangladesh,field,Shakib Al Hasan,EAR de Silva,AL Hill,CR Duncan,NA Malcolm,AJ Pycroft,Bangladesh,NA,4,NA,NA,NA
403369,6,Sri Lanka,Pakistan,male,2009,2009/07/20,Pakistan in Sri Lanka Test Series,3,Sinhalese Sports Club Ground,Colombo,Sri Lanka,field,KC Sangakkara,IJ Gould,SJA Taufel,RD Kottahachchi,MG Silva,AG Hurst,NA,NA,NA,NA,draw,NA
345972,6,England,Australia,male,2009,2009/07/30,The Ashes,3,Edgbaston,Birmingham,Australia,bat,MJ Clarke,Aleem Dar,RE Koertzen,RT Robinson,RA Kettleborough,JJ Crowe,NA,NA,NA,NA,draw,NA
345973,6,England,Australia,male,2009,2009/08/07,The Ashes,4,Headingley,Leeds,England,bat,MJ North,Asad Rauf,BF Bowden,JH Evans,IJ Gould,RS Madugalle,Australia,80,NA,1,NA,NA
403378,6,Sri Lanka,New Zealand,male,2009,2009/08/18,New Zealand in Sri Lanka Test Series,1,Galle International Stadium,NA,New Zealand,field,TM Dilshan,DJ Harper,NJ Llong,AG Dissanayake,EAR de Silva,AJ Pycroft,Sri Lanka,202,NA,NA,NA,NA
345974,6,England,Australia,male,2009,2009/08/20,The Ashes,5,Kennington Oval,London,England,bat,SCJ Broad,Asad Rauf,BF Bowden,JW Lloyds,PJ Hartley,RS Madugalle,England,197,NA,NA,NA,NA
403379,6,Sri Lanka,New Zealand,male,2009,2009/08/26,New Zealand in Sri Lanka Test Series,2,Sinhalese Sports Club Ground,Colombo,Sri Lanka,bat,DPMD Jayawardene,DJ Harper,NJ Llong,PG Liyanage,HDPK Dharmasena,AJ Pycroft,Sri Lanka,96,NA,NA,NA,NA
430881,6,India,Sri Lanka,male,2009/10,2009/11/16,Sri Lanka in India Test Series,1,"Sardar Patel Stadium, Motera",Ahmedabad,India,bat,DPMD Jayawardene,DJ Harper,AL Hill,SD Ranade,AM Saheba,JJ Crowe,NA,NA,NA,NA,draw,NA
430882,6,India,Sri Lanka,male,2009/10,2009/11/24,Sri Lanka in India Test Series,2,Green Park,Kanpur,India,bat,S Sreesanth,AL Hill,NJ Llong,SD Ranade,SS Hazare,JJ Crowe,India,144,NA,1,NA,NA
406189,6,Australia,West Indies,male,2009/10,2009/11/26,The Frank Worrell Trophy,1,"Brisbane Cricket Ground, Woolloongabba",Brisbane,Australia,bat,BW Hilfenhaus,Asad Rauf,IJ Gould,PR Reiffel,MR Benson,BC Broad,Australia,65,NA,1,NA,NA
430883,6,India,Sri Lanka,male,2009/10,2009/12/02,Sri Lanka in India Test Series,3,Brabourne Stadium,Mumbai,Sri Lanka,bat,V Sehwag,DJ Harper,NJ Llong,UV Gandhe,SK Tarapore,JJ Crowe,India,24,NA,1,NA,NA
423779,6,New Zealand,Pakistan,male,2009/10,2009/12/03,Pakistan in New Zealand Test Series,2,Basin Reserve,Wellington,New Zealand,field,Mohammad Asif,RE Koertzen,SJA Taufel,GAV Baxter,BR Doctrove,AG Hurst,Pakistan,141,NA,NA,NA,NA
406190,6,Australia,West Indies,male,2009/10,2009/12/04,The Frank Worrell Trophy,2,Adelaide Oval,NA,West Indies,bat,CH Gayle,Asad Rauf,MR Benson,AR Collins,Asad Rauf,BC Broad,NA,NA,NA,NA,draw,NA
423780,6,New Zealand,Pakistan,male,2009/10,2009/12/11,Pakistan in New Zealand Test Series,3,McLean Park,Napier,Pakistan,bat,DL Vettori,RE Koertzen,BR Doctrove,AL Hill,SJA Taufel,AG Hurst,NA,NA,NA,NA,draw,NA
387570,6,South Africa,England,male,2009/10,2009/12/16,Basil D'Oliveira Trophy,1,SuperSport Park,Centurion,England,field,GP Swann,SJ Davis,Aleem Dar,BG Jerling,AM Saheba,RS Mahanama,NA,NA,NA,NA,draw,NA
406191,6,Australia,West Indies,male,2009/10,2009/12/16,The Frank Worrell Trophy,3,Western Australia Cricket Association Ground,Perth,Australia,bat,CH Gayle,IJ Gould,BF Bowden,RJ Tucker,Asad Rauf,BC Broad,Australia,35,NA,NA,NA,NA
387571,6,South Africa,England,male,2009/10,2009/12/26,Basil D'Oliveira Trophy,2,Kingsmead,Durban,South Africa,bat,GP Swann,AM Saheba,Aleem Dar,JD Cloete,SJ Davis,RS Mahanama,England,98,NA,1,NA,NA
406199,6,Australia,Pakistan,male,2009/10,2009/12/26,Pakistan in Australia Test Series,1,Melbourne Cricket Ground,NA,Australia,bat,SR Watson,RE Koertzen,BR Doctrove,PR Reiffel,EAR de Silva,RS Madugalle,Australia,170,NA,NA,NA,NA
406200,6,Australia,Pakistan,male,2009/10,2010/01/03,Pakistan in Australia Test Series,2,Sydney Cricket Ground,NA,Australia,bat,MEK Hussey,BR Doctrove,EAR de Silva,BNJ Oxenford,RE Koertzen,RS Madugalle,Australia,36,NA,NA,NA,NA
387573,6,South Africa,England,male,2009/10,2010/01/14,Basil D'Oliveira Trophy,4,New Wanderers Stadium,Johannesburg,England,bat,M Morkel,AL Hill,SJ Davis,JD Cloete,DJ Harper,RS Mahanama,South Africa,74,NA,1,NA,NA
406201,6,Australia,Pakistan,male,2009/10,2010/01/14,Pakistan in Australia Test Series,3,Bellerive Oval,Hobart,Australia,bat,RT Ponting,RE Koertzen,EAR de Silva,RJ Tucker,BR Doctrove,RS Madugalle,Australia,231,NA,NA,NA,NA
434257,6,Bangladesh,India,male,2009/10,2010/01/24,India in Bangladesh Test Series,2,Shere Bangla National Stadium,Mirpur,Bangladesh,bat,Z Khan,M Erasmus,BF Bowden,Enamul Haque,Sharfuddoula,AJ Pycroft,India,NA,10,NA,NA,NA
441825,6,India,South Africa,male,2009/10,2010/02/06,South Africa in India Test Series,1,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,South Africa,bat,HM Amla,IJ Gould,SJ Davis,S Rao,SK Tarapore,AJ Pycroft,South Africa,6,NA,1,NA,NA
441826,6,India,South Africa,male,2009/10,2010/02/14,South Africa in India Test Series,2,Eden Gardens,Kolkata,South Africa,bat,HM Amla,IJ Gould,SJ Davis,S Rao,AM Saheba,AJ Pycroft,India,57,NA,1,NA,NA
423786,6,New Zealand,Bangladesh,male,2009/10,2010/02/15,NA,NA,Seddon Park,Hamilton,Bangladesh,field,MJ Guptill,RJ Tucker,RE Koertzen,AL Hill,SJA Taufel,AG Hurst,New Zealand,121,NA,NA,NA,NA
426423,6,Bangladesh,England,male,2009/10,2010/03/12,England in Bangladesh Test Series,1,Zohur Ahmed Chowdhury Stadium,Chittagong,Bangladesh,field,GP Swann,RJ Tucker,AL Hill,Sharfuddoula,Enamul Haque,JJ Crowe,England,181,NA,NA,NA,NA
423789,6,New Zealand,Australia,male,2009/10,2010/03/19,Trans-Tasman Trophy,1,Basin Reserve,Wellington,Australia,bat,MJ Clarke,IJ Gould,Asad Rauf,GAV Baxter,Aleem Dar,J Srinath,Australia,NA,10,NA,NA,NA
426424,6,Bangladesh,England,male,2009/10,2010/03/20,England in Bangladesh Test Series,2,Shere Bangla National Stadium,Mirpur,Bangladesh,bat,Shakib Al Hasan,RJ Tucker,AL Hill,Enamul Haque,Nadir Shah,JJ Crowe,England,NA,9,NA,NA,NA
423790,6,New Zealand,Australia,male,2009/10,2010/03/27,Trans-Tasman Trophy,2,Seddon Park,Hamilton,Australia,bat,MG Johnson,Asad Rauf,Aleem Dar,GAV Baxter,IJ Gould,J Srinath,Australia,176,NA,NA,NA,NA
426402,6,England,Bangladesh,male,2010,2010/06/04,Bangladesh in England Test Series,2,Old Trafford,Manchester,England,bat,IR Bell,EAR de Silva,BF Bowden,NA Mallender,RA Kettleborough,AG Hurst,England,80,NA,1,NA,NA
439152,6,West Indies,South Africa,male,2010,2010/06/10,South Africa in West Indies Test Series,1,"Queen's Park Oval, Port of Spain",Trinidad,South Africa,bat,DW Steyn,SJ Davis,Asad Rauf,NA Malcolm,SJA Taufel,RS Mahanama,South Africa,163,NA,NA,NA,NA
439153,6,West Indies,South Africa,male,2010,2010/06/18,South Africa in West Indies Test Series,2,"Warner Park, Basseterre",St Kitts,South Africa,bat,S Chanderpaul,SJA Taufel,Asad Rauf,CR Duncan,SJ Davis,JJ Crowe,NA,NA,NA,NA,draw,NA
439154,6,West Indies,South Africa,male,2010,2010/06/26,South Africa in West Indies Test Series,3,"Kensington Oval, Bridgetown",Barbados,West Indies,bat,J Botha,SJA Taufel,SJ Davis,CR Duncan,Asad Rauf,JJ Crowe,South Africa,NA,7,NA,NA,NA
426394,6,Australia,Pakistan,male,2010,2010/07/13,MCC Spirit of Cricket Test Series,1,Lord's,London,Pakistan,field,SM Katich,RE Koertzen,IJ Gould,Nadeem Ghauri,Ahsan Raza,BC Broad,Australia,150,NA,NA,NA,NA
456669,6,Sri Lanka,India,male,2010,2010/07/18,India in Sri Lanka Test Series,1,Galle International Stadium,NA,Sri Lanka,bat,SL Malinga,RJ Tucker,DJ Harper,SH Sarathkumara,TH Wijewardene,AJ Pycroft,Sri Lanka,NA,10,NA,NA,NA
426395,6,Australia,Pakistan,male,2010,2010/07/21,MCC Spirit of Cricket Test Series,2,Headingley,Leeds,Australia,bat,Mohammad Amir,RE Koertzen,IJ Gould,Zameer Haider,Nadeem Ghauri,BC Broad,Pakistan,NA,3,NA,NA,NA
456670,6,Sri Lanka,India,male,2010,2010/07/26,India in Sri Lanka Test Series,2,Sinhalese Sports Club Ground,Colombo,Sri Lanka,bat,KC Sangakkara,RJ Tucker,DJ Harper,RD Kottahachchi,REJ Martinesz,AJ Pycroft,NA,NA,NA,NA,draw,NA
426413,6,England,Pakistan,male,2010,2010/07/29,Pakistan in England Test Series,1,Trent Bridge,Nottingham,England,bat,JM Anderson,AL Hill,EAR de Silva,RJ Bailey,M Erasmus,RS Madugalle,England,354,NA,NA,NA,NA
456671,6,Sri Lanka,India,male,2010,2010/08/03,India in Sri Lanka Test Series,3,P Sara Oval,Colombo,Sri Lanka,bat,VVS Laxman,RJ Tucker,SJA Taufel,RMPJ Rambukwella,HDPK Dharmasena,AJ Pycroft,India,NA,5,NA,NA,NA
426414,6,England,Pakistan,male,2010,2010/08/06,Pakistan in England Test Series,2,Edgbaston,Birmingham,Pakistan,bat,GP Swann,M Erasmus,SJ Davis,JW Lloyds,AL Hill,RS Madugalle,England,NA,9,NA,NA,NA
426415,6,England,Pakistan,male,2010,2010/08/18,Pakistan in England Test Series,3,Kennington Oval,London,England,bat,Mohammad Amir,AL Hill,SJ Davis,PJ Hartley,BF Bowden,RS Madugalle,Pakistan,NA,4,NA,NA,NA
426416,6,England,Pakistan,male,2010,2010/08/26,Pakistan in England Test Series,4,Lord's,London,Pakistan,field,SCJ Broad,AL Hill,BF Bowden,RT Robinson,SJ Davis,RS Madugalle,England,225,NA,1,NA,NA
464527,6,India,Australia,male,2010/11,2010/10/09,Border-Gavaskar Trophy,2,M Chinnaswamy Stadium,Bangalore,Australia,bat,SR Tendulkar,IJ Gould,BF Bowden,S Ravi,AM Saheba,BC Broad,India,NA,7,NA,NA,NA
